PARENT_KEY_NODE_KEY               ,PO_ITEM_POS,PRODUCT_GUID_NODE_KEY    ,CURRENCY_CODE,GROSS_AMOUNT        ,NET_AMOUNT          ,TAX_AMOUNT          
74867AD200E41EDBA5D8B0C98DC28052  ,10,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,154.70,130.00,24.70
74867AD200E41EDBA5D8B0C98DC28052  ,20,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338.00,64.22
74867AD200E41EDBA5D8B0C98DC28052  ,30,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,309.40,260.00,49.40
74867AD200E41EDBA5D8B0C98DC28052  ,40,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338.00,64.22
74867AD200E41EDBA5D8B0C98DC28052  ,50,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,464.10,390.00,74.10
74867AD200E41EDBA5D8B0C98DC28052  ,60,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338.00,64.22
74867AD200E41EDBA5D8B0C98DC28052  ,70,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,309.40,260.00,49.40
74867AD200E41EDBA5D8B0C98DC28052  ,80,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338.00,64.22
74867AD200E41EDBA5D8B0C98DC28052  ,90,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,464.10,390.00,74.10
74867AD200E41EDBA5D8B0C98DC28052  ,100,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,603.33,507.00,96.33
74867AD200E41EDBA5D8B0C98DC2A052  ,10,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,1425.62,1198.00,227.62
74867AD200E41EDBA5D8B0C98DC2A052  ,20,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,117.81,99.00,18.81
74867AD200E41EDBA5D8B0C98DC2A052  ,30,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,11900.00,10000.00,1900.00
74867AD200E41EDBA5D8B0C98DC2A052  ,40,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,1425.62,1198.00,227.62
74867AD200E41EDBA5D8B0C98DC2A052  ,50,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,235.62,198.00,37.62
74867AD200E41EDBA5D8B0C98DC2A052  ,60,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,11900.00,10000.00,1900.00
74867AD200E41EDBA5D8B0C98DC2A052  ,70,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,2138.43,1797.00,341.43
74867AD200E41EDBA5D8B0C98DC2A052  ,80,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,353.43,297.00,56.43
74867AD200E41EDBA5D8B0C98DC2A052  ,90,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,11900.00,10000.00,1900.00
74867AD200E41EDBA5D8B0C98DC2A052  ,100,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,2138.43,1797.00,341.43
74867AD200E41EDBA5D8B0C98DC2C052  ,10,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,2424.03,2037.00,387.03
74867AD200E41EDBA5D8B0C98DC2C052  ,20,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,1783.81,1499.00,284.81
74867AD200E41EDBA5D8B0C98DC2C052  ,30,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,1616.02,1358.00,258.02
74867AD200E41EDBA5D8B0C98DC2C052  ,40,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,3567.62,2998.00,569.62
74867AD200E41EDBA5D8B0C98DC2C052  ,50,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,808.01,679.00,129.01
74867AD200E41EDBA5D8B0C98DC2C052  ,60,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,3567.62,2998.00,569.62
74867AD200E41EDBA5D8B0C98DC2C052  ,70,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,808.01,679.00,129.01
74867AD200E41EDBA5D8B0C98DC2C052  ,80,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,3567.62,2998.00,569.62
74867AD200E41EDBA5D8B0C98DC2E052  ,10,74867AD200E41EDBA5D8B06B26F80052  ,GBP          ,3566.43,2997.00,569.43
74867AD200E41EDBA5D8B0C98DC2E052  ,20,74867AD200E41EDBA5D8B06B26ECC052  ,GBP          ,1017.45,855.00,162.45
74867AD200E41EDBA5D8B0C98DC2E052  ,30,74867AD200E41EDBA5D8B06B26F26052  ,GBP          ,139.23,117.00,22.23
